route_short_name,direction_id,stop_id,hour,n,mean_h,std_h,median_h,cv,ideal_wait_min,excess_wait_min,boardings,excess_pax_min
1346,I,46021842,5,16,13.207291666666666,6.912059129878053,11.716666666666667,0.5233517441977231,6.603645833333333,1.808719100809738,33.7486104,61.04175625626617
1346,I,45833450,5,15,13.791111111111112,6.880909895330292,12.783333333333331,0.4989380362389028,6.895555555555556,1.7165738353564648,15.9517873,27.382420706351546
1346,I,44782998,5,15,13.816666666666666,6.930466821965918,12.85,0.5016019412761822,6.908333333333333,1.7381678059241383,5.258136,9.139522714370726
1346,I,45833230,5,15,13.821111111111112,6.933743221502249,12.733333333333333,0.5016776991198669,6.910555555555556,1.7392521728256114,14.2726908,24.82380848596811
1346,I,46022152,5,15,13.87111111111111,7.055671390125258,12.683333333333334,0.5086594241519331,6.935555555555555,1.7944668731531919,85.2803477,153.03275887863597
1346,I,47566107,5,15,13.877777777777778,7.37670674956893,11.0,0.5315481244685378,6.938888888888889,1.9605373187438846,19.5716504,38.37095099860868
1346,I,45833942,5,13,15.07948717948718,7.412164158651163,16.85,0.49153953781226895,7.53974358974359,1.8216858723660292,17.6335279,32.12274865540222
1346,I,45833647,5,13,15.084615384615384,7.494859952445533,17.066666666666666,0.4968545608454458,7.542307692307692,1.861927675135222,1.0679568,1.9884583217688512
1386,I,45834097,5,11,49.56515151515152,110.73610236228826,11.15,2.2341524029930073,24.78257575757576,123.70066459539296,8.9331392,1105.035255963157
1346,I,47566106,5,13,15.16025641025641,7.841197739219171,16.116666666666667,0.5172206542571631,7.580128205128205,2.027814712419364,1.0679568,2.1656185112683044
1386,I,44782442,5,11,49.57727272727273,110.72120080049437,11.133333333333333,2.2333055997165823,24.788636363636364,123.63713887754412,28.222354,3489.3311009492127
1346,I,45833923,5,13,15.117948717948718,7.591759087896046,17.35,0.5021685963838972,7.558974358974359,1.9061715026267265,56.0866863,106.91084310182482
1346,I,44042532,5,16,12.885416666666668,7.050699027105988,12.475000000000001,0.5471844030737064,6.442708333333334,1.9290162691996766,538.353034,1038.4917611590067
1386,I,47566681,5,11,49.58181818181818,110.93830764783156,11.533333333333331,2.2374796188598225,24.79090909090909,124.11110115641193,7.737542400000001,960.3149075084265
