route_short_name,direction_id,stop_id,hour,n,mean_h,std_h,median_h,cv
1346,I,46021842,5,16,13.207291666666666,6.912059129878053,11.716666666666667,0.5233517441977231
1346,I,45833450,5,15,13.791111111111112,6.880909895330292,12.783333333333331,0.4989380362389028
1346,I,44782998,5,15,13.816666666666666,6.930466821965918,12.85,0.5016019412761822
1346,I,45833230,5,15,13.821111111111112,6.933743221502249,12.733333333333333,0.5016776991198669
1346,I,46022152,5,15,13.87111111111111,7.055671390125258,12.683333333333334,0.5086594241519331
1346,I,47566107,5,15,13.877777777777778,7.37670674956893,11.0,0.5315481244685378
1346,I,45833942,5,13,15.07948717948718,7.412164158651163,16.85,0.49153953781226895
1346,I,45833647,5,13,15.084615384615384,7.494859952445533,17.066666666666666,0.4968545608454458
1386,I,45834097,5,11,49.56515151515152,110.73610236228826,11.15,2.2341524029930073
1346,I,47566106,5,13,15.16025641025641,7.841197739219171,16.116666666666667,0.5172206542571631
1386,I,44782442,5,11,49.57727272727273,110.72120080049437,11.133333333333333,2.2333055997165823
1346,I,45833923,5,13,15.117948717948718,7.591759087896046,17.35,0.5021685963838972
1346,I,44042532,5,16,12.885416666666668,7.050699027105988,12.475000000000001,0.5471844030737064
1386,I,47566681,5,11,49.58181818181818,110.93830764783156,11.533333333333331,2.2374796188598225
1346,I,44782893,5,16,12.895833333333334,7.045027551006769,12.425,0.5463026210796849
1346,I,44782337,5,12,15.822222222222223,7.724160428226982,18.041666666666668,0.4881842967278289
1346,I,45834753,5,16,12.932291666666668,7.0801425871107595,12.025000000000002,0.5474777997282584
1386,I,44783270,5,11,49.57424242424242,110.9203817112596,11.416666666666666,2.2374599446630805
12503,I,212266647,5,5,101.54666666666667,166.4179882771758,22.066666666666663,1.6388326051455073
1346,I,44783344,5,16,12.93125,7.058431411656243,12.125,0.5458429317858864
1386,I,47568385,5,11,49.557575757575755,110.96226844457297,11.383333333333333,2.239057636462583
1346,I,44784470,5,10,15.465,7.666262489346133,17.975,0.4957169407918612
1386,I,44784196,5,11,49.56666666666667,110.96798359814593,10.95,2.238762278375506
1346,I,200498925,5,10,15.746666666666666,8.359764084922228,17.73333333333333,0.5308910299484904
1346,I,45833160,5,16,12.925,7.125670046466586,11.708333333333332,0.5513090945041845
1346,I,44784471,5,10,15.76,8.394380395372979,17.78333333333333,0.5326383499602144
1386,I,44784333,5,11,49.57575757575758,110.96347710255256,10.9,2.238260846200632
12503,I,211299455,5,5,101.56,166.3410290804874,22.15,1.637859679799994
1346,I,44784483,5,10,15.808333333333334,8.441159905815997,17.883333333333333,0.5339689977321664
1386,I,44782447,5,11,49.56969696969697,110.95268324880743,11.0,2.2383167546219864
